Jacob	22,074	Isabella	22,872
805	Kayson	267	Analia	338
806	Hank	266	Emelia	338
807	Efrain	265	Heidy	338
808	Samir	265	Karlie	338
809	Abdiel	264	Nathaly	338
810	Ean	264	Chana	337
811	Sage	264	Tess	337
812	Leandro	263	Yazmin	336
813	Lyric	263	Chanel	332
814	Todd	263	Karsyn	332
815	Aditya	262	Paula	331
816	Konnor	262	Armani	330
817	Derick	261	Marisa	329
818	Deven	261	Araceli	327
819	Konner	261	Abbie	326
820	Benson	260	Alyvia	326
821	Jovanni	260	Amirah	326
822	Matthias	260	Azul	326
823	Deangelo	259	Edith	326
824	Demarcus	259	Ember	326
825	Kyron	259	Zaria	325
826	Kyson	259	Aliza	324
827	Valentino	259	Carissa	324
828	Ishaan	258	Livia	324
829	Maximo	258	Charley	323
830	Sidney	258	Cailyn	322
831	Dilan	257	Hadassah	322
832	Gilbert	257	Ireland	322
833	Xavi	257	Isabell	322
834	Bo	256	Leia	322
835	Sylas	256	Beatrice	321
836	Fisher	255	Hayleigh	321
837	Jaron	255	Akira	320
838	Marcel	255	Avah	320
839	Cael	252	Eileen	319
840	Franco	252	Kiersten	319
841	Alden	251	Micah	319
842	Randall	251	Kenna	318
843	Bentlee	250	Malaya	318
844	Brogan	250	Gracelynn	317
845	Callum	250	Kirsten	317
846	Malaki	250	Alma	316
847	Agustin	249	Hana	316
848	Blaze	249	Demi	315
849	Jerimiah	249	Jemma	315
850	Justus	249	Kelsie	314
851	Ronin	249	Lillianna	314
852	Westin	249	Lina	314
853	Branson	248	Mira	314
854	Marcelo	248	Alayah	313
855	Dominique	247	Angeline	313
856	Krish	247	Ayleen	313
857	Odin	247	Charity	313
858	Rey	247	Nola	312
859	Brice	243	Ashlee	310
860	Camryn	243	Katrina	310
861	Chaim	243	Millie	310
862	Jabari	243	Raina	309
863	Jair	243	Belinda	308
864	Samson	243	Jacquelyn	308
865	Izayah	242	Jaylyn	308
866	Jaidyn	242	Mara	308
867	Emmitt	241	Renee	308
868	Mayson	241	Lilyanna	307
869	Mike	241	Mayra	307
870	Remy	241	Bree	306
871	Tyree	241	Belen	305
872	Isai	240	Zariyah	305
873	Stefan	240	Lilia	304
874	Seamus	239	Rubi	303
875	Devan	238	Shyla	303
876	Houston	238	Joyce	302
877	Jedidiah	238	Judith	302
878	Santos	238	Meadow	302
879	Casen	237	Ryann	302
880	Fletcher	237	Elianna	300
881	Major	237	Kyndall	300
882	Vincenzo	236	Lara	300
883	Winston	236	Salma	300
884	Aedan	235	Tania	300
885	Kamryn	235	Kendal	299
886	Darnell	234	Neveah	299
887	Deon	234	Abbey	298
888	Gaige	234	Kynlee	298
889	Jaycob	234	Rayne	298
890	Quinten	234	Saige	297
891	Jaxen	232	Briella	296
892	Landry	231	Janet	296
893	Deegan	230	Braelynn	295
894	Edison	229	Karma	295
895	Humberto	229	Sarahi	295
896	Jadyn	229	Laniyah	294
897	Salvatore	229	Makena	294
898	Aarush	227	Rayna	294
899	Lionel	227	Stacy	294
900	Carsen	226	Princess	293
901	Howard	226	Lizeth	292
902	Jaydin	226	Marlene	291
903	Kadyn	226	Azaria	290
904	Abdullah	225	Riya	289
905	Alfred	225	Dominique	288
906	Ameer	225	Jaylen	288
907	Bodhi	225	Karly	288
908	Davon	224	Britney	287
909	Trystan	223	Kaelynn	287
910	Eden	222	Abigale	286
911	Zaire	222	Adele	286
912	Antwan	221	Adelina	286
913	Johann	221	Ann	283
914	Lennon	221	Charli	283
915	Marley	221	Janiah	283
916	Theo	221	Marianna	283
917	Donte	220	Caydence	282
918	Jayvion	220	Emersyn	282
919	Bridger	219	Kayleen	282
920	Irvin	219	Abagail	281
921	Yael	219	Dixie	281
922	Ernest	218	Diya	280
923	Leonidas	218	Esme	280
924	Ross	218	Theresa	280
925	Devyn	217	Carleigh	279
926	Hezekiah	217	Jewel	279
927	Ignacio	217	Roselyn	279
928	Jencarlos	217	Alisa	278
929	Octavio	217	Maliah	278
930	Arnav	216	Shyanne	278
931	Leighton	216	Karli	277
932	Nigel	216	Nathalia	277
933	Rayden	216	Yamilet	277
934	Hayes	215	Averi	276
935	Lennox	215	Payten	276
936	Vaughn	215	Aiyanna	275
937	Anders	214	Journee	275
938	Keon	214	Mattie	275
939	Leroy	214	Mylee	275
940	Cortez	213	Tegan	275
941	Darien	213	Damaris	274
942	Darryl	213	Arya	273
943	Haiden	213	Yamileth	273
944	Koen	213	Emmy	272
945	Legend	213	Thalia	272
946	Dario	212	Audriana	271
947	Jakobe	212	Carina	271
948	Sonny	212	Esperanza	271
949	Tyrese	211	Kylah	271
950	Damari	210	Anabel	269
951	Maxx	210	Jamya	269
952	Pierre	210	Willa	269
953	Zaid	210	Kierra	268
954	Antony	209	Kinsey	268
955	Blaise	209	Sydnee	268
956	Dangelo	208	Kai	267
957	Menachem	208	Micaela	267
958	Camdyn	207	Pearl	267
959	Eliot	207	Shania	267
960	Cain	206	Ivana	266
961	Hugh	206	Kairi	266
962	Makhi	206	Precious	266
963	Pranav	206	Shaylee	265
964	Roderick	206	Azariah	264
965	Yadiel	206	Mina	264
966	Broderick	205	Jolene	263
967	Zack	205	Kimber	263
968	Ralph	204	Kloe	263
969	Demarion	203	Lorena	263
970	Kael	203	Myra	263
971	Lathan	203	Addilyn	262
972	Ronaldo	203	Alannah	262
973	Yair	203	River	262
974	Gibson	202	Alexus	261
975	Keyon	202	Dalia	261
976	Reagan	202	Jaslene	261
977	Kingsley	201	India	260
978	Talan	201	Milagros	259
979	Yehuda	201	Reina	259
980	Cristofer	200	Zuri	259
981	Dashawn	200	Mae	258
982	Daylen	200	Stephany	258
983	Jordon	200	Xiomara	258
984	Sheldon	200	Pamela	257
985	Clarence	199	Donna	256
986	Kadin	199	Evelin	256
987	Masen	199	Ariah	255
988	Rowen	199	Leona	255
989	Slade	199	Tia	255
990	Dillan	198	Amiah	254
991	Thaddeus	198	Aracely	254
992	Yousef	198	Bryleigh	254
993	Clinton	197	Devyn	254
994	Truman	197	Lilith	254
995	Destin	196	Charleigh	253
996	Eliezer	196	Alaysia	252
997	Enoch	196	Aleigha	252
998	Joziah	196	Savanah	252
999	Keshawn	196	Dania	251
1000	Reuben	196	Estella	250
