Jacob	22,074	Isabella	22,872
164	Seth	2,372	Summer	1,880
165	George	2,365	Keira	1,857
166	Kaiden	2,343	Eleanor	1,850
167	Trevor	2,316	Clara	1,836
168	Jude	2,298	Eliana	1,829
169	Jorge	2,293	Jillian	1,815
170	Derek	2,292	Alana	1,813
171	Braxton	2,286	Jacqueline	1,805
172	Sawyer	2,216	Alice	1,778
173	Jaxson	2,211	Adrianna	1,771
174	Jaiden	2,203	Miranda	1,770
175	Omar	2,165	Alivia	1,764
176	Tanner	2,131	Julianna	1,745
177	Paul	2,119	Aniyah	1,735
178	Travis	2,118	Eden	1,723
179	Camden	2,102	Jordan	1,721
180	Maddox	2,102	Mikayla	1,719
181	Andres	2,086	Skylar	1,715
182	Cristian	2,067	Margaret	1,697
183	Rylan	2,054	Briana	1,685
184	Josue	1,996	Ryleigh	1,675
185	Bradley	1,991	Josephine	1,674
186	Roman	1,987	Shelby	1,674
187	Axel	1,970	Delilah	1,662
188	Garrett	1,957	Amanda	1,652
189	Fernando	1,950	Allie	1,634
190	Javier	1,946	Diana	1,620
191	Leo	1,940	Addyson	1,615
192	Damien	1,934	Brielle	1,613
193	Peter	1,929	Catherine	1,608
194	Abraham	1,923	Angel	1,603
195	Ricardo	1,881	Danielle	1,597
196	Francisco	1,875	Elise	1,585
197	Drake	1,870	Ana	1,571
198	Lincoln	1,868	Melody	1,569
199	Shane	1,868	Leslie	1,563
200	Erick	1,857	Penelope	1,546
201	Cesar	1,817	Makenna	1,541
202	Stephen	1,812	Marissa	1,526
203	Jaylen	1,806	Aurora	1,523
204	Tucker	1,749	Leila	1,507
205	Kai	1,741	Alexandria	1,506
206	Braden	1,706	Alaina	1,493
207	Landen	1,704	Kendra	1,493
208	Mario	1,703	Kate	1,488
209	Edwin	1,698	Delaney	1,484
210	Avery	1,696	Sienna	1,477
211	Manuel	1,696	Lola	1,470
212	Trenton	1,685	Jayden	1,460
213	Ezekiel	1,681	Ariel	1,449
214	Kingston	1,671	Sierra	1,445
215	Calvin	1,657	Erin	1,440
216	Johnathan	1,645	Hadley	1,439
217	Edgar	1,642	Miley	1,437
218	Donovan	1,639	Carly	1,435
219	Silas	1,627	Sabrina	1,431
220	Israel	1,623	Alicia	1,422
221	Alexis	1,621	Tessa	1,422
222	Mateo	1,621	Chelsea	1,416
223	Jeffrey	1,613	Aubree	1,408
224	Weston	1,582	Amber	1,407
225	Raymond	1,578	Maggie	1,404
226	Hector	1,561	Amaya	1,390
227	Spencer	1,551	Cadence	1,379
228	Andre	1,539	Mckenna	1,377
229	Brendan	1,524	Cheyenne	1,364
230	Lukas	1,524	Kathryn	1,363
231	Zion	1,522	Maci	1,352
232	Griffin	1,517	Kinley	1,351
233	Harrison	1,489	Kelsey	1,347
234	Maximus	1,485	Marley	1,342
235	Andy	1,475	Alayna	1,332
236	Braylon	1,470	Jayda	1,325
237	Tyson	1,467	Paisley	1,322
